DateTime,OKX Open,OKX High,OKX Low,OKX Close,OKX Volume,OKX Spread,OKX Percentage Change,Binance Open,Binance High,Binance Low,Binance Close,Binance Volume,Binance Close Time,Binance Quote Asset Volume,Binance Number of Trades,Binance Taker buy base asset volume,Binance Taker buy quote asset volume,Binance Spread,Binance Percentage Change,Close Price Difference
1707568260000,118.69,118.69,118.69,118.69,1.344548,0.0,-0.03368988461215047,118.68000000,118.70000000,118.65000000,118.70000000,18.07000000,,,,,,0.04999999999999716,0.02528018875874369,-0.010000000000005116
1707568320000,118.67,118.71,118.63,118.71,6.366845,0.0799999999999983,0.016850619260254465,118.72000000,118.73000000,118.62000000,118.73000000,61.86000000,,,,,,0.10999999999999943,0.025273799494524966,-0.020000000000010232
1707568380000,118.73,118.73,118.73,118.73,2.703829,0.0,0.016847780304953444,118.74000000,118.80000000,118.72000000,118.79000000,21.49000000,,,,,,0.0799999999999983,0.05053482691821972,-0.060000000000002274
1707568440000,118.73,118.73,118.73,118.73,0,0.0,0.0,118.80000000,118.81000000,118.76000000,118.81000000,33.42000000,,,,,,0.04999999999999716,0.016836434043266287,-0.0799999999999983
1707568500000,118.77,118.77,118.73,118.73,7.101954,0.03999999999999204,0.0,118.80000000,118.82000000,118.73000000,118.74000000,116.39000000,,,,,,0.0899999999999892,-0.058917599528665425,-0.009999999999990905
1707568560000,118.71,118.71,118.63,118.63,4.243638,0.0799999999999983,-0.08422471153037019,118.77000000,118.82000000,118.62000000,118.63000000,137.72000000,,,,,,0.19999999999998863,-0.09263938015832865,0.0
1707568620000,118.62,118.62,118.5,118.51,5.70582,0.12000000000000455,-0.10115485121806485,118.65000000,118.65000000,118.46000000,118.52000000,26.65000000,,,,,,0.19000000000001194,-0.09272528028323311,-0.009999999999990905
1707568680000,118.51,118.51,118.51,118.51,0.030013,0.0,0.0,118.53000000,118.53000000,118.51000000,118.51000000,11.26000000,,,,,,0.01999999999999602,-0.00843739453256067,0.0
1707568740000,118.58,118.58,118.44,118.45,10.405797,0.14000000000000057,-0.05062863893342526,118.56000000,118.59000000,118.44000000,118.50000000,43.70000000,,,,,,0.15000000000000568,-0.008438106488908206,-0.04999999999999716
1707568800000,118.57,118.57,118.55,118.55,0.230005,0.01999999999999602,0.08442380751371406,118.51000000,118.58000000,118.51000000,118.58000000,20.98000000,,,,,,0.06999999999999318,0.06751054852320532,-0.030000000000001137
1707568860000,118.67,118.75,118.67,118.75,1.857394,0.0799999999999983,0.1687051876845237,118.58000000,118.72000000,118.58000000,118.64000000,12.58000000,,,,,,0.14000000000000057,0.05059875189745511,0.10999999999999943
1707568920000,118.7,118.7,118.67,118.67,0.53001,0.030000000000001137,-0.06736842105263013,118.61000000,118.72000000,118.59000000,118.68000000,19.16000000,,,,,,0.12999999999999545,0.03371544167229117,-0.010000000000005116
