DateTime,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume
1698808500000,110.54000000,110.70000000,110.47000000,110.50000000,46.20000000,1698808559999,5109.46550000,80,18.28000000,2021.93700000
1698808560000,110.50000000,110.70000000,110.35000000,110.60000000,159.36000000,1698808619999,17605.70240000,148,67.83000000,7494.71600000
1698808620000,110.60000000,110.80000000,110.59000000,110.60000000,126.74000000,1698808679999,14026.01630000,178,51.32000000,5680.20270000
1698808680000,110.60000000,110.77000000,110.53000000,110.76000000,110.77000000,1698808739999,12253.54240000,98,76.08000000,8416.00520000
1698808740000,110.75000000,110.88000000,110.71000000,110.88000000,57.27000000,1698808799999,6346.30380000,50,21.43000000,2374.90180000
1698808800000,110.89000000,111.07000000,110.89000000,110.93000000,62.22000000,1698808859999,6906.18030000,66,27.40000000,3041.87310000
1698808860000,110.92000000,111.01000000,110.80000000,110.94000000,63.70000000,1698808919999,7061.84020000,56,17.06000000,1892.11900000
1698808920000,110.96000000,111.08000000,110.96000000,110.98000000,24.05000000,1698808979999,2670.69620000,16,19.85000000,2204.28050000
1698808980000,110.98000000,111.00000000,110.93000000,111.00000000,25.91000000,1698809039999,2874.81500000,20,2.33000000,258.53230000
1698809040000,111.00000000,111.13000000,111.00000000,111.05000000,48.83000000,1698809099999,5423.60200000,44,8.39000000,932.15260000
1698809100000,111.11000000,111.24000000,111.11000000,111.15000000,54.12000000,1698809159999,6017.88510000,22,41.16000000,4576.88090000
1698809160000,111.15000000,111.21000000,111.15000000,111.20000000,10.91000000,1698809219999,1213.09550000,5,3.64000000,404.65150000
1698809220000,111.19000000,111.19000000,111.12000000,111.14000000,12.01000000,1698809279999,1334.92790000,9,0.78000000,86.67360000
1698809280000,111.10000000,111.16000000,110.96000000,111.16000000,46.90000000,1698809339999,5208.17100000,29,29.26000000,3249.50810000
1698809340000,111.15000000,111.19000000,111.09000000,111.19000000,20.65000000,1698809399999,2295.20220000,16,14.10000000,1567.08500000
1698809400000,111.17000000,111.19000000,111.00000000,111.03000000,29.69000000,1698809459999,3298.71870000,27,15.45000000,1717.06870000
1698809460000,110.98000000,111.18000000,110.89000000,111.18000000,47.93000000,1698809519999,5322.46740000,43,10.01000000,1111.20920000
1698809520000,111.19000000,111.39000000,111.01000000,111.06000000,141.61000000,1698809579999,15764.10840000,56,105.45000000,11739.32530000
